MySQL [en_rscwiki]> select page_id, page_namespace, page_title, page_is_redirect from page;
+---------+----------------+--------------------------------------------------------------------------------------------+------------------+
| page_id | page_namespace | page_title                                                                                 | page_is_redirect |
+---------+----------------+--------------------------------------------------------------------------------------------+------------------+
|    1297 |              2 | Angela                                                                                     |                0 |
|    1298 |              4 | Protected_page                                                                             |                1 |
|    1300 |              4 | Administrators                                                                             |                0 |
|    1452 |              4 | Copyrights                                                                                 |                1 |
|    1461 |              0 | RuneScape_Classic_Wiki                                                                     |                0 |
|    1462 |            110 | Index                                                                                      |                1 |
|    1467 |             10 | Forumheader                                                                                |                0 |
|    1480 |            110 | Help_desk                                                                                  |                1 |
|    1481 |            110 | Watercooler                                                                                |                1 |
|    1490 |            110 | Welcome_to_the_watercooler                                                                 |                0 |
|    1491 |            110 | Welcome_to_the_help_desk                                                                   |                0 |
|    1492 |             10 | PD                                                                                         |                0 |
|    1496 |             10 | GFDL                                                                                       |                0 |
|    1500 |             10 | Fair_use                                                                                   |                0 |
|    1501 |              4 | About                                                                                      |                0 |
|    1507 |             10 | Delete                                                                                     |                0 |
|    1508 |             15 | Candidates_for_deletion                                                                    |                0 |
|    1509 |             14 | Candidates_for_deletion                                                                    |                0 |
|    1516 |              4 | Policy                                                                                     |                0 |
|    1517 |             14 | Policy                                                                                     |                1 |
|    1518 |              4 | Sandbox                                                                                    |                0 |
|    1520 |             10 | Wikipedia                                                                                  |                0 |
|    1523 |              2 | Sannse                                                                                     |                0 |
|    1526 |              4 | Community_Portal                                                                           |                0 |
|    1620 |             10 | Box1_start                                                                                 |                0 |
|    1621 |             10 | Box2_start                                                                                 |                0 |
|    1622 |             10 | Boxes_end                                                                                  |                0 |
|    1637 |             10 | No_license                                                                                 |                0 |
|    1673 |             10 | Welcome                                                                                    |                0 |
|    1674 |             11 | Welcome                                                                                    |                0 |
|    1681 |              2 | Jimbo_Wales                                                                                |                0 |
|    1682 |              3 | Jimbo_Wales                                                                                |                0 |
|    1684 |             10 | Sandbox                                                                                    |                0 |
|    1696 |              3 | Angela                                                                                     |                0 |
|    1749 |              2 | CatherineMunro                                                                             |                0 |
|    1751 |              2 | Zuirdj                                                                                     |                0 |
|    1753 |             14 | Community                                                                                  |                0 |
|    1766 |             14 | Templates                                                                                  |                0 |
|    1769 |              3 | CatherineMunro                                                                             |                0 |
|    1773 |              6 | Favicon.ico                                                                                |                0 |
|    1775 |             10 | Stub                                                                                       |                0 |
|    1782 |             10 | WelcomeIP                                                                                  |                0 |
|    1785 |             10 | Permission                                                                                 |                0 |
|    1786 |             10 | Other_free                                                                                 |                0 |
|    1787 |             10 | From_Wikimedia                                                                             |                0 |
|    1788 |             10 | Self                                                                                       |                0 |
|    1799 |             10 | Unsigned                                                                                   |                0 |
|    1802 |             14 | Category_templates                                                                         |                0 |
|    1803 |             10 | Templatecategory                                                                           |                0 |
|    1804 |             14 | General_wiki_templates                                                                     |                0 |
|    1805 |             10 | Col-2                                                                                      |                0 |
|    1806 |             10 | Col-begin                                                                                  |                0 |
|    1807 |             10 | Col-end                                                                                    |                0 |
|    1808 |             10 | T                                                                                          |                0 |
|    1809 |             10 | T/piece                                                                                    |                0 |
|    1813 |             10 | Imagecategory                                                                              |                0 |
|    1814 |             14 | Images                                                                                     |                0 |
|    1815 |             14 | Image_wiki_templates                                                                       |                0 |
|    1816 |             14 | Article_management_templates                                                               |                0 |
|    1818 |             10 | Disambig                                                                                   |                0 |
|    1820 |             10 | Main                                                                                       |                0 |
|    1821 |              4 | Templates                                                                                  |                0 |
|    1824 |              5 | Community_Portal                                                                           |                0 |
|    1825 |              1 | RuneScape_Classic_Wiki                                                                     |                0 |
|    1854 |             11 | T                                                                                          |                0 |
|    1855 |             10 | Category                                                                                   |                0 |
|    1859 |              4 | Bureaucrats                                                                                |                1 |
|    1860 |             10 | Tocright                                                                                   |                0 |
|    1861 |              2 | Avatar                                                                                     |                0 |
|    1862 |             10 | Infobox                                                                                    |                0 |
|    1863 |             11 | Infobox                                                                                    |                0 |
|    1866 |             10 | HeadingB                                                                                   |                0 |
|    1867 |             10 | HeadingA                                                                                   |                0 |
|    1872 |             10 | WelcIP                                                                                     |                1 |
|    1876 |              2 | KyleH                                                                                      |                0 |
|    1879 |             10 | Cc-by-sa-3.0                                                                               |                0 |
|    1881 |             10 | D                                                                                          |                0 |
|    1882 |              4 | Criteria_for_speedy_deletion                                                               |                1 |
|    1884 |             14 | Candidates_for_speedy_deletion                                                             |                0 |
|    1887 |              2 | Uberfuzzy                                                                                  |                0 |
|    1888 |              2 | Toughpigs                                                                                  |                0 |
|    1889 |             15 | Candidates_for_speedy_deletion                                                             |                0 |
|    1890 |              2 | Kirkburn                                                                                   |                0 |
|    1895 |             10 | Disambig/doc                                                                               |                0 |
